"";"date";"year";"month";"day";"co2"
"535";1977-04-05;1977;4;5;330,99
"536";1977-04-06;1977;4;6;331,03
"537";1977-04-07;1977;4;7;330,99
"538";1977-04-08;1977;4;8;330,93
"539";1977-04-09;1977;4;9;331,01
"540";1977-04-10;1977;4;10;330,95
"541";1977-04-11;1977;4;11;330,94
"542";1977-04-12;1977;4;12;330,99
"543";1977-04-13;1977;4;13;331,04
"544";1977-04-14;1977;4;14;330,94
"545";1977-04-15;1977;4;15;331,03
"546";1977-04-16;1977;4;16;331,03
"547";1977-04-17;1977;4;17;331,01
"548";1977-04-18;1977;4;18;331,03
"549";1977-04-19;1977;4;19;331,03
"550";1977-04-20;1977;4;20;331,03
"551";1977-04-21;1977;4;21;330,98
"552";1977-04-22;1977;4;22;330,98
"553";1977-04-23;1977;4;23;331
"554";1977-04-24;1977;4;24;331,02
"555";1977-04-25;1977;4;25;330,98
"556";1977-04-26;1977;4;26;331,02
"557";1977-04-27;1977;4;27;331,15
"558";1977-04-28;1977;4;28;331,14
"559";1977-04-29;1977;4;29;331,01
"560";1977-04-30;1977;4;30;331
"561";1977-05-01;1977;5;1;331,02
"562";1977-05-02;1977;5;2;330,99
"563";1977-05-03;1977;5;3;331,02
"564";1977-05-04;1977;5;4;331,01
"565";1977-05-05;1977;5;5;330,96
"566";1977-05-06;1977;5;6;331,04
"567";1977-05-07;1977;5;7;331,06
"568";1977-05-08;1977;5;8;331,07
"569";1977-05-09;1977;5;9;331,16
"570";1977-05-10;1977;5;10;331,2
"571";1977-05-11;1977;5;11;331,22
"572";1977-05-12;1977;5;12;331,17
"573";1977-05-13;1977;5;13;331,17
"574";1977-05-14;1977;5;14;331,09
"575";1977-05-15;1977;5;15;331,2
"576";1977-05-16;1977;5;16;331,18
"577";1977-05-17;1977;5;17;331,02
"578";1977-05-18;1977;5;18;331,16
"579";1977-05-19;1977;5;19;331,13
"580";1977-05-20;1977;5;20;331,15
"581";1977-05-21;1977;5;21;331,22
"582";1977-05-22;1977;5;22;331,25
"583";1977-05-23;1977;5;23;331,1
"584";1977-05-24;1977;5;24;331,07
"585";1977-05-25;1977;5;25;331,14
"586";1977-05-26;1977;5;26;331,19
"587";1977-05-27;1977;5;27;331,13
"588";1977-05-28;1977;5;28;331,38
"589";1977-06-07;1977;6;7;331,49
"590";1977-06-08;1977;6;8;331,39
"591";1977-06-09;1977;6;9;331,34
"592";1977-06-10;1977;6;10;331,37
"593";1977-06-11;1977;6;11;331,39
"594";1977-06-12;1977;6;12;331,24
"595";1977-06-13;1977;6;13;331,31
"596";1977-06-14;1977;6;14;331,29
"597";1977-06-15;1977;6;15;331,34
"598";1977-06-16;1977;6;16;331,31
"599";1977-06-17;1977;6;17;331,31
"600";1977-06-18;1977;6;18;331,32
"601";1977-06-19;1977;6;19;331,27
"602";1977-06-20;1977;6;20;331,25
"603";1977-06-21;1977;6;21;331,26
"604";1977-06-22;1977;6;22;331,29
"605";1977-06-23;1977;6;23;331,35
"606";1977-06-24;1977;6;24;331,34
"607";1977-06-25;1977;6;25;331,3
"608";1977-06-26;1977;6;26;331,4
"609";1977-06-27;1977;6;27;331,49
"610";1977-06-28;1977;6;28;331,51
"611";1977-06-29;1977;6;29;331,49
"612";1977-06-30;1977;6;30;331,4
"613";1977-07-01;1977;7;1;331,5
"614";1977-07-02;1977;7;2;331,47
"615";1977-07-03;1977;7;3;331,55
"616";1977-07-04;1977;7;4;331,54
"617";1977-07-05;1977;7;5;331,62
"618";1977-07-06;1977;7;6;331,54
"619";1977-07-07;1977;7;7;331,52
"620";1977-07-08;1977;7;8;331,52
"621";1977-07-09;1977;7;9;331,56
"622";1977-07-10;1977;7;10;331,62
"623";1977-07-11;1977;7;11;331,64
"624";1977-07-12;1977;7;12;331,59
"625";1977-07-13;1977;7;13;331,7
"626";1977-07-14;1977;7;14;331,61
"627";1977-07-15;1977;7;15;331,56
"628";1977-07-16;1977;7;16;331,58
"629";1977-07-17;1977;7;17;331,64
"630";1977-07-18;1977;7;18;331,6
"631";1977-07-19;1977;7;19;331,62
"632";1977-07-20;1977;7;20;331,68
"633";1977-07-21;1977;7;21;331,62
"634";1977-07-22;1977;7;22;331,69
"635";1977-07-23;1977;7;23;331,59
"636";1977-07-24;1977;7;24;331,63
"637";1977-07-25;1977;7;25;331,7
"638";1977-07-26;1977;7;26;331,66
"639";1977-07-27;1977;7;27;331,85
"640";1977-07-28;1977;7;28;331,72
"641";1977-07-29;1977;7;29;331,7
"642";1977-07-30;1977;7;30;331,83
"643";1977-07-31;1977;7;31;331,78
"644";1977-08-01;1977;8;1;331,87
"645";1977-08-02;1977;8;2;331,86
"646";1977-08-03;1977;8;3;331,88
"647";1977-08-04;1977;8;4;331,89
"648";1977-08-05;1977;8;5;331,99
"649";1977-08-06;1977;8;6;331,91
"650";1977-08-07;1977;8;7;331,93
"651";1977-08-08;1977;8;8;331,95
"652";1977-08-09;1977;8;9;332,08
"653";1977-08-10;1977;8;10;331,95
"654";1977-08-11;1977;8;11;331,96
"655";1977-08-12;1977;8;12;331,87
"656";1977-08-13;1977;8;13;331,95
"657";1977-08-14;1977;8;14;331,95
"658";1977-08-15;1977;8;15;331,94
"659";1977-08-16;1977;8;16;331,98
"660";1977-08-17;1977;8;17;331,91
"661";1977-08-18;1977;8;18;331,94
"662";1977-08-19;1977;8;19;331,95
"663";1977-08-20;1977;8;20;332
"664";1977-08-21;1977;8;21;332
