"";"date";"gesamt"
"352";2012-06-23;3600
"353";2012-06-24;2973
"354";2012-06-25;2168
"355";2012-06-26;4952
"356";2012-06-27;5047
"357";2012-06-28;5390
"358";2012-06-29;3887
"359";2012-06-30;3739
"360";2012-07-01;2462
"361";2012-07-02;3085
"362";2012-07-03;3757
"363";2012-07-04;4931
"364";2012-07-05;4934
"365";2012-07-06;3920
"366";2012-07-07;2870
"367";2012-07-08;2834
"368";2012-07-09;4314
"369";2012-07-10;4879
"370";2012-07-11;3762
"371";2012-07-12;4441
"372";2012-07-13;3004
"373";2012-07-14;2236
"374";2012-07-15;1604
"375";2012-07-16;3773
"376";2012-07-17;4025
"377";2012-07-18;5110
"378";2012-07-19;4434
"379";2012-07-20;3073
"380";2012-07-21;2197
"381";2012-07-22;2311
"382";2012-07-23;4635
"383";2012-07-24;5432
"384";2012-07-25;4304
"385";2012-07-26;5282
"386";2012-07-27;5121
"387";2012-07-28;2766
"388";2012-07-29;1306
"389";2012-07-30;4763
"390";2012-07-31;5469
"391";2012-08-01;5544
"392";2012-08-02;4621
"393";2012-08-03;3100
"394";2012-08-04;2970
"395";2012-08-05;2529
"396";2012-08-06;2850
"397";2012-08-07;4151
"398";2012-08-08;4387
"399";2012-08-09;4401
"400";2012-08-10;4020
"401";2012-08-11;2985
"402";2012-08-12;2713
"403";2012-08-13;4202
"404";2012-08-14;4328
"405";2012-08-15;2827
"406";2012-08-16;2278
"407";2012-08-17;4086
"408";2012-08-18;3141
"409";2012-08-19;2575
"410";2012-08-20;4167
"411";2012-08-21;4126
"412";2012-08-22;3841
"413";2012-08-23;3399
"414";2012-08-24;2744
"415";2012-08-25;1701
"416";2012-08-26;1267
"417";2012-08-27;3718
"418";2012-08-28;4111
"419";2012-08-29;4007
"420";2012-08-30;2466
"421";2012-08-31;824
"422";2012-09-01;924
"423";2012-09-02;1276
"424";2012-09-03;3046
"425";2012-09-04;3598
"426";2012-09-05;3419
"427";2012-09-06;3442
"428";2012-09-07;3871
"429";2012-09-08;3127
"430";2012-09-09;2826
"431";2012-09-10;4282
"432";2012-09-11;4112
"433";2012-09-12;1504
"434";2012-09-13;2949
"435";2012-09-14;3767
"436";2012-09-15;2364
"437";2012-09-16;2443
"438";2012-09-17;4232
"439";2012-09-18;4755
